Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
2.78,9.4,24.7,5.64,6.1,6.2,3.0,Wrought Iron,12.64
23.7,6.2,31.2,4.26,10.8,30.9,3.0,Open Hearth iron,3.18
5.0,7.48,54.48,4.2,5.65,70.36,1.44,Bessemer Steel,3.14
177.9,4.8,29.1,11.6,18.2,46.1,1.5,Open Hearth iron,4.15
28.9,7.5,22.4,1.0,3.8,36.3,1.5,Wrought Iron,0.8
112.0,4.5,13.8,3.09,16.0,17.6,3.0,Bessemer Steel,1.31
17.8,7.2,25.8,5.7,9.5,36.0,1.5,Wrought Iron,1.7
7.12,4.2,57.8,5.4,22.4,29.8,1.5,Bessemer Steel,13.9
20.6,7.3,18.0,8.76,10.9,26.0,3.0,Wrought Iron,2.04
74.6,6.6,13.0,4.0,27.8,6.6,1.5,Open Hearth iron,1.4
31.87,7.07,12.4,12.2,33.34,12.59,1.45,Bessemer Steel,3.93
28.2,6.8,24.8,8.57,15.8,52.1,3.0,Wrought Iron,3.82
57.06,7.25,17.68,3.8,11.58,15.94,2.92,Wrought Iron,1.46
17.7,7.6,25.7,4.1,2.6,46.1,1.5,Open Hearth iron,1.3
0.55,2.99,55.45,9.8,69.05,65.12,1.61,Bessemer Steel,17.1
21.2,4.4,34.3,1.18,3.7,63.6,3.0,Bessemer Steel,0.83
17.7,7.6,25.7,3.23,2.6,46.1,3.0,Wrought Iron,1.0
17.7,7.6,25.7,11.39,2.6,46.1,1.5,Open Hearth iron,2.28
110.0,5.3,32.0,9.58,15.5,53.1,1.5,Wrought Iron,1.8
28.2,6.8,24.8,16.9,15.8,52.1,1.5,Open Hearth iron,5.4
8.0,6.8,72.8,11.7,34.0,46.2,3.0,Bessemer Steel,12.8
12.51,4.28,34.35,12.1,26.55,71.12,1.69,Wrought Iron,16.25
62.7,5.7,22.69,11.25,6.84,19.05,3.0,Bessemer Steel,6.45
82.9,4.4,22.2,4.6,12.0,26.5,1.5,Wrought Iron,4.2
205.0,4.7,2.8,16.88,38.1,0.6,1.5,Open Hearth iron,4.61
1.3,7.0,29.4,10.01,7.2,32.4,3.0,Bessemer Steel,5.04
20.6,7.3,18.0,7.29,10.9,26.0,3.0,Open Hearth iron,1.55
368.38,5.67,15.58,14.98,34.96,15.82,3.0,Open Hearth iron,1.69
11.4,4.52,33.92,10.76,24.39,66.77,3.0,Open Hearth iron,15.98
431.0,5.9,12.2,8.1,40.6,7.2,3.0,Bessemer Steel,0.9
66.7,5.6,22.2,8.3,7.0,17.7,3.0,Bessemer Steel,5.51
29.66,7.35,46.26,7.7,20.82,18.76,3.28,Wrought Iron,1.42
11.35,7.26,28.34,7.5,16.63,20.24,1.57,Wrought Iron,3.28
20.6,7.3,18.0,6.2,10.9,26.0,1.5,Bessemer Steel,1.0
19.7,4.6,28.4,1.1,3.9,34.2,1.5,Bessemer Steel,0.7
0.6,3.1,55.4,5.68,68.9,65.0,1.5,Wrought Iron,7.8
112.0,4.5,13.8,8.0,16.0,17.6,3.0,Open Hearth iron,2.0
112.0,4.5,13.8,3.61,16.0,17.6,1.5,Wrought Iron,1.81
0.6,3.1,55.4,11.14,68.9,65.0,3.0,Open Hearth iron,12.08
2.51,7.18,14.94,11.7,18.54,26.91,2.94,Open Hearth iron,11.3
137.0,4.7,34.8,12.0,14.9,45.8,3.0,Wrought Iron,8.9
31.9,7.1,12.4,9.97,33.5,12.8,1.5,Bessemer Steel,3.69
57.01,7.29,17.89,3.9,11.89,15.59,1.48,Wrought Iron,1.82
430.89,6.08,12.42,17.5,40.55,7.25,1.55,Open Hearth iron,2.3
99.46,5.14,14.53,2.71,30.96,5.68,1.5,Open Hearth iron,2.8
15.65,7.07,49.96,15.45,6.57,64.34,3.0,Open Hearth iron,14.11
51.68,7.25,23.77,10.54,14.12,19.1,3.0,Open Hearth iron,3.25
11.46,7.32,28.27,7.8,16.53,20.2,3.11,Open Hearth iron,1.78
35.21,6.2,17.04,4.0,14.55,14.0,1.33,Wrought Iron,2.69
4.08,6.8,24.6,7.07,2.5,62.6,3.0,Wrought Iron,13.37
114.0,4.5,13.0,13.06,34.7,5.6,3.0,Wrought Iron,1.24
19.7,4.6,28.4,5.45,3.9,34.2,1.5,Open Hearth iron,2.18
2.78,9.4,24.7,12.1,6.1,6.2,1.5,Wrought Iron,21.1
13.2,5.3,33.1,5.86,6.9,40.3,1.5,Bessemer Steel,4.12
2.63,7.4,14.8,5.8,18.7,26.7,1.5,Bessemer Steel,3.5
114.0,4.5,13.0,17.2,34.7,5.6,1.5,Bessemer Steel,1.4
5.16,7.27,36.72,2.74,8.18,69.43,1.5,Open Hearth iron,1.42
28.2,6.8,24.8,5.5,15.8,52.1,1.5,Open Hearth iron,2.2
2.78,9.4,24.7,10.28,6.1,6.2,3.0,Bessemer Steel,21.61
13.15,7.0,28.8,9.7,4.9,35.8,1.5,Open Hearth iron,6.14
45.2,6.16,24.85,7.94,6.16,24.97,1.5,Open Hearth iron,4.63
12.65,4.14,34.63,7.9,26.63,71.36,2.87,Bessemer Steel,11.1
13.2,5.3,33.1,8.95,6.9,40.3,1.5,Wrought Iron,5.61
59.99,4.6,30.88,3.9,4.34,51.65,3.05,Bessemer Steel,3.59
137.0,4.7,34.8,5.22,14.9,45.8,3.0,Open Hearth iron,5.41
137.0,4.7,34.8,6.02,14.9,45.8,3.0,Bessemer Steel,6.2
66.7,5.6,22.2,11.97,7.0,17.7,1.5,Bessemer Steel,6.19
12.78,4.11,34.48,12.0,26.73,71.23,2.98,Bessemer Steel,14.63
10.0,8.8,31.2,4.83,7.2,31.2,3.0,Open Hearth iron,1.87
2.48,7.38,14.8,3.9,18.55,26.54,3.03,Wrought Iron,3.03
74.09,6.18,19.89,11.64,18.24,21.04,1.5,Open Hearth iron,4.17
12.15,7.0,28.6,4.7,1.1,52.5,3.0,Bessemer Steel,4.76
177.86,4.76,29.24,7.9,18.08,46.07,1.39,Open Hearth iron,3.66
74.6,6.6,13.0,7.9,27.8,6.6,3.0,Open Hearth iron,4.6
110.0,5.3,32.0,6.41,15.5,53.1,3.0,Wrought Iron,1.35
66.7,5.6,22.2,12.0,7.0,17.7,3.0,Open Hearth iron,7.0
4.08,6.8,24.6,7.85,2.5,62.6,3.0,Open Hearth iron,16.38
177.9,4.8,29.1,8.22,18.2,46.1,3.0,Bessemer Steel,4.45
49.0,6.7,23.4,8.0,14.7,35.1,3.0,Open Hearth iron,3.2
431.0,5.9,12.2,4.42,40.6,7.2,3.0,Open Hearth iron,0.72
28.2,6.8,24.8,1.0,15.8,52.1,3.0,Wrought Iron,0.6
66.7,5.6,22.2,10.95,7.0,17.7,3.0,Wrought Iron,6.68
7.56,5.46,32.2,7.09,17.85,53.71,1.5,Bessemer Steel,11.06
205.0,4.7,2.8,10.12,38.1,0.6,3.0,Bessemer Steel,2.56
10.0,8.8,31.2,10.28,7.2,31.2,3.0,Wrought Iron,2.9
111.94,4.5,13.65,4.2,16.0,17.62,1.49,Bessemer Steel,2.11
3.3,7.6,37.0,1.1,8.7,70.1,3.0,Bessemer Steel,0.8
21.2,4.4,34.3,8.59,3.7,63.6,3.0,Wrought Iron,4.34
2.9,9.5,21.7,5.9,34.5,9.4,3.0,Bessemer Steel,7.8
59.8,4.5,30.8,5.9,4.4,51.7,1.5,Wrought Iron,5.9
386.0,4.5,3.0,7.7,32.1,2.6,1.5,Open Hearth iron,1.83
29.06,7.47,22.52,1.0,3.69,36.24,3.02,Open Hearth iron,1.14
74.76,6.68,12.92,6.0,27.83,6.75,2.9,Wrought Iron,3.27
49.0,6.7,23.4,8.36,14.7,35.1,3.0,Wrought Iron,3.69
28.13,6.77,24.82,3.6,15.74,51.95,1.6,Bessemer Steel,2.08
31.9,7.1,12.4,13.75,33.5,12.8,1.5,Wrought Iron,4.77
137.02,4.82,34.64,11.9,14.78,45.91,1.54,Open Hearth iron,10.74
114.0,4.5,13.0,16.99,34.7,5.6,1.5,Bessemer Steel,1.4
431.0,5.9,12.2,8.71,40.6,7.2,3.0,Open Hearth iron,0.85
2.63,7.4,14.8,1.43,18.7,26.7,3.0,Open Hearth iron,1.19
3.3,7.6,37.0,1.29,8.7,70.1,3.0,Bessemer Steel,0.88
21.4,4.67,34.22,17.0,3.5,63.62,1.53,Bessemer Steel,6.3
29.8,7.3,46.4,4.9,20.9,18.6,3.0,Wrought Iron,1.41
386.0,4.5,3.0,4.72,32.1,2.6,1.5,Open Hearth iron,0.64
4.89,7.5,54.4,4.26,5.7,70.4,3.0,Open Hearth iron,3.72
0.64,2.89,55.19,6.3,69.19,65.1,1.59,Wrought Iron,8.04
33.39,7.07,12.77,2.09,33.16,13.57,1.5,Bessemer Steel,0.35
28.9,7.5,22.4,10.19,3.8,36.3,1.5,Wrought Iron,5.3
6.84,7.3,37.6,8.22,2.0,44.9,3.0,Bessemer Steel,4.39
114.21,4.56,13.16,4.1,34.96,5.67,3.02,Bessemer Steel,0.52
12.7,4.2,34.5,6.0,26.6,71.2,1.5,Open Hearth iron,10.0
17.7,7.6,25.7,1.5,2.6,46.1,1.5,Wrought Iron,0.5
12.73,4.16,34.51,2.2,26.56,71.25,1.53,Open Hearth iron,3.97
20.49,7.48,17.85,17.5,10.74,26.01,3.13,Open Hearth iron,0.98
137.0,4.7,34.8,2.9,14.9,45.8,1.5,Bessemer Steel,4.3
11.4,7.3,28.4,11.16,16.6,20.3,3.0,Wrought Iron,2.29
82.9,4.4,22.2,6.73,12.0,26.5,1.5,Open Hearth iron,5.16
252.48,6.37,19.29,8.56,25.35,19.42,3.0,Bessemer Steel,3.79
28.14,6.89,24.79,11.5,15.67,52.23,2.89,Open Hearth iron,5.04
0.6,3.1,55.4,8.0,68.9,65.0,3.0,Wrought Iron,10.1
7.12,4.2,57.8,8.28,22.4,29.8,1.5,Bessemer Steel,24.21
49.0,6.7,23.4,8.67,14.7,35.1,1.5,Open Hearth iron,3.42
59.8,4.5,30.8,3.91,4.4,51.7,3.0,Bessemer Steel,3.73
109.98,5.11,32.06,7.8,15.61,53.05,2.93,Wrought Iron,1.64
74.6,6.6,13.0,6.1,27.8,6.6,3.0,Wrought Iron,3.4
74.64,6.47,12.94,12.0,27.75,6.69,3.07,Wrought Iron,4.69
2.68,9.37,24.72,1.7,6.23,6.23,1.23,Bessemer Steel,7.87
431.0,5.9,12.2,5.13,40.6,7.2,1.5,Bessemer Steel,0.75
49.0,6.7,23.4,3.19,14.7,35.1,3.0,Wrought Iron,1.68
5.7,3.7,42.6,4.56,1.9,87.8,1.5,Wrought Iron,3.3
12.75,8.49,20.33,4.44,28.37,10.77,1.5,Wrought Iron,5.89
85.0,4.9,29.4,3.46,5.4,1.2,1.5,Bessemer Steel,2.83
9.7,6.0,33.0,2.0,2.3,47.1,3.0,Bessemer Steel,2.2
51.5,4.9,28.4,6.34,9.6,22.3,1.5,Open Hearth iron,5.45
8.0,6.8,72.8,10.08,34.0,46.2,3.0,Wrought Iron,10.89
17.8,7.2,25.8,1.0,9.5,36.0,1.5,Bessemer Steel,0.4
4.89,7.5,54.4,7.41,5.7,70.4,3.0,Wrought Iron,5.91
12.7,4.2,34.5,2.24,26.6,71.2,3.0,Open Hearth iron,4.56
112.0,3.8,7.0,5.4,3.5,4.5,3.0,Wrought Iron,4.02
112.0,3.8,7.0,10.6,3.5,4.5,1.5,Wrought Iron,8.71
12.15,7.0,28.6,9.11,1.1,52.5,3.0,Wrought Iron,8.68
28.2,6.8,24.8,1.0,15.8,52.1,1.5,Open Hearth iron,0.6
206.43,4.04,5.62,8.35,13.36,3.85,1.5,Open Hearth iron,5.51
19.64,4.56,28.36,5.7,3.72,34.28,2.87,Open Hearth iron,2.18
13.2,5.3,33.1,17.4,6.9,40.3,1.5,Wrought Iron,7.4
57.0,7.3,17.8,2.43,11.7,15.8,3.0,Bessemer Steel,0.88
35.07,6.35,17.04,5.9,14.29,14.15,2.89,Wrought Iron,3.3
137.0,4.7,34.8,10.12,14.9,45.8,3.0,Bessemer Steel,9.32
51.5,4.9,28.4,11.6,9.6,22.3,3.0,Bessemer Steel,7.8
51.52,4.92,28.19,7.5,9.74,22.42,1.52,Wrought Iron,6.12
21.22,4.32,34.21,16.7,3.91,63.6,1.48,Wrought Iron,5.47
177.9,4.8,29.1,12.0,18.2,46.1,1.5,Open Hearth iron,4.2
17.7,7.6,25.7,2.59,2.6,46.1,1.5,Bessemer Steel,0.78
14.94,6.79,7.54,4.1,23.22,31.07,3.07,Bessemer Steel,2.55
3.3,7.6,37.0,8.57,8.7,70.1,1.5,Open Hearth iron,4.01
6.13,6.45,41.16,5.59,32.59,45.11,3.0,Open Hearth iron,5.4
12.15,7.0,28.6,9.6,1.1,52.5,1.5,Bessemer Steel,8.8
5.74,3.84,42.59,12.0,1.85,87.84,1.43,Wrought Iron,8.42
46.93,6.75,16.17,3.82,30.04,20.56,1.5,Wrought Iron,0.68
6.87,7.43,37.43,12.1,2.15,44.9,3.07,Bessemer Steel,6.54
2.34,8.8,28.7,7.5,5.0,24.5,1.5,Bessemer Steel,21.0
386.07,4.56,3.05,12.1,32.12,2.44,3.1,Bessemer Steel,2.24
137.0,4.7,34.8,9.58,14.9,45.8,1.5,Wrought Iron,9.89
431.0,5.9,12.2,1.9,40.6,7.2,1.5,Bessemer Steel,0.2
431.0,5.9,12.2,1.9,40.6,7.2,1.5,Open Hearth iron,0.2
74.54,6.7,13.11,8.1,27.83,6.37,1.59,Wrought Iron,4.27
2.78,9.4,24.7,8.1,6.1,6.2,3.0,Bessemer Steel,19.31
82.9,4.4,22.2,10.11,12.0,26.5,3.0,Bessemer Steel,6.93
57.0,7.3,17.8,9.66,11.7,15.8,3.0,Bessemer Steel,2.84
51.5,4.9,28.4,1.7,9.6,22.3,3.0,Wrought Iron,1.4
17.7,7.6,25.7,6.1,2.6,46.1,1.5,Bessemer Steel,1.6
13.2,5.3,33.1,15.64,6.9,40.3,3.0,Wrought Iron,5.83
17.8,7.46,25.83,12.1,2.68,46.02,3.02,Open Hearth iron,3.06
0.6,3.1,55.4,8.48,68.9,65.0,1.5,Wrought Iron,14.31
4.08,6.8,24.6,7.7,2.5,62.6,3.0,Bessemer Steel,13.2
35.2,6.2,17.2,7.66,14.4,13.9,1.5,Bessemer Steel,4.18
30.57,5.87,30.16,5.23,3.98,36.84,3.0,Wrought Iron,3.59
28.2,6.8,24.8,7.67,15.8,52.1,1.5,Bessemer Steel,3.0
9.7,6.0,33.0,8.35,2.3,47.1,3.0,Wrought Iron,7.19
35.2,6.2,17.2,3.8,14.4,13.9,1.5,Bessemer Steel,2.4
23.7,6.2,31.2,3.91,10.8,30.9,1.5,Bessemer Steel,2.39
2.63,7.4,14.8,1.64,18.7,26.7,3.0,Wrought Iron,1.4
0.6,3.1,55.4,8.0,68.9,65.0,3.0,Open Hearth iron,10.8
17.56,7.61,25.81,4.0,2.65,46.1,2.94,Open Hearth iron,1.19
57.0,7.3,17.8,9.6,11.7,15.8,3.0,Bessemer Steel,2.8
6.79,7.26,37.56,6.0,1.94,44.97,2.96,Bessemer Steel,3.84
17.8,7.2,25.8,11.7,9.5,36.0,3.0,Bessemer Steel,3.3
8.0,6.8,72.8,2.86,34.0,46.2,3.0,Wrought Iron,2.68
386.0,4.5,3.0,17.2,32.1,2.6,3.0,Bessemer Steel,2.8
49.0,6.7,23.4,6.46,14.7,35.1,3.0,Wrought Iron,2.93
12.76,4.32,34.46,5.9,26.71,70.97,1.52,Bessemer Steel,9.76
28.93,7.59,22.27,7.6,3.76,36.39,3.08,Wrought Iron,3.33
66.7,5.6,22.2,8.0,7.0,17.7,1.5,Open Hearth iron,5.2
83.0,4.42,22.22,4.1,11.98,26.51,1.71,Bessemer Steel,3.04
2.78,9.4,24.7,7.93,6.1,6.2,1.5,Bessemer Steel,18.49
28.24,6.88,24.7,11.6,15.75,52.16,1.48,Open Hearth iron,4.54
20.6,7.3,18.0,8.43,10.9,26.0,3.0,Open Hearth iron,2.06
51.5,4.9,28.4,8.53,9.6,22.3,1.5,Bessemer Steel,5.94
112.0,3.8,7.0,10.1,3.5,4.5,3.0,Wrought Iron,8.2
205.04,4.69,2.91,8.0,38.06,0.46,3.02,Wrought Iron,2.17
205.12,4.69,2.86,1.8,38.28,0.61,1.68,Bessemer Steel,1.62
51.51,4.85,28.1,3.6,9.78,22.55,1.41,Open Hearth iron,3.14
112.0,3.8,7.0,10.1,3.5,4.5,3.0,Bessemer Steel,8.5
9.9,5.89,32.98,8.0,2.31,47.04,3.01,Wrought Iron,7.05
5.7,3.7,42.6,10.8,1.9,87.8,3.0,Wrought Iron,7.1
2.78,9.4,24.7,3.4,6.1,6.2,3.0,Open Hearth iron,9.88
1.27,7.02,29.35,11.6,7.11,32.27,1.39,Open Hearth iron,5.09
3.05,9.36,21.74,1.9,34.71,9.44,3.01,Wrought Iron,3.89
2.34,8.8,28.7,9.24,5.0,24.5,1.5,Bessemer Steel,28.12
74.62,6.55,12.83,1.2,27.82,6.67,1.34,Wrought Iron,1.15
28.26,7.0,24.86,16.9,15.84,52.11,3.13,Bessemer Steel,5.05
15.0,7.0,7.6,10.79,23.2,30.9,1.5,Open Hearth iron,4.0
11.4,7.3,28.4,5.6,16.6,20.3,3.0,Wrought Iron,2.9
74.4,5.6,24.2,5.96,7.5,15.3,1.5,Bessemer Steel,2.7
17.7,7.6,25.7,12.1,2.6,46.1,3.0,Wrought Iron,3.2
178.02,4.74,29.12,3.8,18.18,46.08,1.6,Wrought Iron,3.09
9.7,6.0,33.0,11.68,2.3,47.1,1.5,Open Hearth iron,6.9
4.08,6.8,24.6,9.0,2.5,62.6,3.0,Wrought Iron,16.8
177.9,4.8,29.1,7.22,18.2,46.1,3.0,Open Hearth iron,3.93
21.31,4.44,34.18,1.0,3.82,63.76,2.99,Bessemer Steel,0.68
31.9,7.1,12.4,1.9,33.5,12.8,1.5,Open Hearth iron,0.2
82.9,4.4,22.2,3.44,12.0,26.5,3.0,Wrought Iron,2.7
13.2,5.3,33.1,7.9,6.9,40.3,3.0,Bessemer Steel,4.6
2.94,9.45,24.71,10.3,6.09,6.11,1.69,Bessemer Steel,18.77
5.7,3.7,42.6,8.0,1.9,87.8,3.0,Bessemer Steel,3.9
3.3,7.6,37.0,7.5,8.7,70.1,1.5,Open Hearth iron,3.29
11.38,7.25,28.36,7.7,16.59,20.32,3.02,Bessemer Steel,2.26
49.0,6.7,23.4,1.4,14.7,35.1,3.0,Wrought Iron,1.4
31.8,5.82,30.38,4.75,10.45,28.39,1.5,Wrought Iron,3.58
12.15,7.0,28.6,1.0,1.1,46.2,1.5,Open Hearth iron,1.1
2.78,9.4,24.7,5.49,6.1,6.2,3.0,Open Hearth iron,13.53
59.8,4.5,30.8,12.92,4.4,51.7,3.0,Wrought Iron,10.36
17.73,7.51,25.81,4.0,2.51,46.13,1.63,Wrought Iron,2.12
35.2,6.2,17.2,5.57,14.4,13.9,1.5,Open Hearth iron,2.35
51.5,4.9,28.4,7.34,9.6,22.3,1.5,Open Hearth iron,5.65
386.0,4.5,3.0,1.45,32.1,2.6,3.0,Bessemer Steel,0.31
28.9,7.5,22.4,1.98,3.8,36.3,1.5,Open Hearth iron,1.39
17.7,7.6,25.7,5.94,2.6,46.1,1.5,Bessemer Steel,1.58
17.8,7.2,25.8,1.0,9.5,36.0,3.0,Wrought Iron,0.3
74.4,5.6,24.2,1.65,7.5,15.3,3.0,Open Hearth iron,1.47
111.85,4.53,13.81,8.0,15.97,17.54,2.89,Open Hearth iron,2.1
31.9,7.1,12.4,17.5,33.5,12.8,3.0,Open Hearth iron,4.8
9.7,6.0,33.0,10.35,2.3,47.1,3.0,Wrought Iron,8.19
29.8,7.3,46.4,5.07,20.9,18.6,1.5,Wrought Iron,2.12
29.8,7.3,46.4,3.58,20.9,18.6,3.0,Bessemer Steel,2.17
1.3,7.0,29.4,9.42,7.2,32.4,1.5,Open Hearth iron,4.49
48.85,6.71,23.46,8.2,14.71,35.06,3.12,Wrought Iron,3.5
49.0,6.7,23.4,6.77,14.7,35.1,1.5,Open Hearth iron,3.06
6.84,7.3,37.6,5.9,2.0,44.9,1.5,Bessemer Steel,3.4
431.0,5.9,12.2,4.1,40.6,7.2,3.0,Bessemer Steel,0.5
11.4,7.3,28.4,6.05,16.6,20.3,3.0,Wrought Iron,2.75
9.7,6.0,33.0,3.42,2.3,47.1,3.0,Wrought Iron,3.59
386.0,4.5,3.0,11.37,32.1,2.6,1.5,Open Hearth iron,2.08
66.7,5.6,22.2,4.85,7.0,17.7,1.5,Open Hearth iron,4.02
31.9,7.1,12.4,6.31,33.5,12.8,3.0,Bessemer Steel,2.58
13.2,5.3,33.1,1.73,6.9,40.3,3.0,Open Hearth iron,0.82
5.7,3.7,42.6,8.0,1.9,87.8,3.0,Wrought Iron,4.3
82.9,4.4,22.2,3.11,12.0,26.5,3.0,Bessemer Steel,2.99
49.0,6.7,23.4,12.0,14.7,35.1,3.0,Open Hearth iron,4.3
204.95,4.61,2.88,17.6,38.1,0.73,3.04,Open Hearth iron,4.45
5.7,3.7,42.6,12.0,1.9,87.8,3.0,Wrought Iron,8.3
11.49,7.35,28.42,9.9,16.69,20.27,1.48,Bessemer Steel,3.28
4.08,6.8,24.6,2.39,2.5,62.6,3.0,Wrought Iron,3.45
17.7,7.6,25.7,8.0,2.6,46.1,3.0,Bessemer Steel,2.0
3.3,7.6,37.0,1.1,8.7,70.1,3.0,Open Hearth iron,0.6
29.8,7.3,46.4,16.9,20.9,18.6,1.5,Wrought Iron,5.1
4.89,7.5,54.4,4.11,5.7,70.4,3.0,Bessemer Steel,3.88
66.7,5.6,22.2,11.61,7.0,17.7,1.5,Open Hearth iron,6.82
13.15,7.0,28.8,9.05,4.9,35.8,3.0,Wrought Iron,5.48
74.4,5.6,24.2,5.77,7.5,15.3,1.5,Open Hearth iron,2.43
112.0,4.5,13.8,12.0,16.0,17.6,1.5,Bessemer Steel,2.9
4.89,7.5,54.4,2.12,5.7,70.4,3.0,Bessemer Steel,2.76
85.0,4.9,29.4,7.6,5.4,1.2,1.5,Bessemer Steel,4.2
