Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
20.6,7.3,18.0,15.36,10.9,26.0,3.0,Open Hearth iron,1.22
2.29,8.83,28.74,14.5,4.97,24.56,1.58,Bessemer Steel,35.17
5.08,7.63,54.31,2.0,5.67,70.45,1.65,Bessemer Steel,2.14
74.4,5.6,24.2,4.0,7.5,15.3,1.5,Bessemer Steel,2.7
74.38,5.62,24.16,10.0,7.42,15.32,3.2,Bessemer Steel,4.79
6.85,7.25,37.75,2.2,1.94,44.87,1.47,Wrought Iron,1.95
177.9,4.8,29.1,7.9,18.2,46.1,1.5,Open Hearth iron,3.7
79.77,6.41,15.78,10.45,26.0,13.4,3.0,Open Hearth iron,3.82
431.0,5.9,12.2,3.16,40.6,7.2,3.0,Bessemer Steel,0.37
13.15,7.0,28.8,17.5,4.9,35.8,3.0,Bessemer Steel,8.6
82.84,4.37,22.17,7.8,11.93,26.47,3.25,Bessemer Steel,4.47
13.2,5.3,33.1,2.14,6.9,40.3,1.5,Wrought Iron,1.3
35.18,6.18,17.03,9.8,14.48,13.84,1.8,Open Hearth iron,4.04
8.0,6.8,72.8,8.34,34.0,46.2,1.5,Open Hearth iron,9.35
386.0,4.5,3.0,5.77,32.1,2.6,1.5,Open Hearth iron,0.84
82.95,4.45,22.24,6.0,12.16,26.49,3.08,Wrought Iron,5.59
8.0,6.8,72.8,7.6,34.0,46.2,1.5,Wrought Iron,9.2
3.32,7.61,36.86,1.1,8.57,70.34,3.04,Open Hearth iron,0.63
8.0,6.8,72.8,10.91,34.0,46.2,3.0,Open Hearth iron,10.93
57.0,7.3,17.8,11.7,11.7,15.8,3.0,Wrought Iron,3.6
17.8,7.2,25.8,2.9,9.5,36.0,3.0,Wrought Iron,0.58
5.7,3.7,42.6,2.4,1.9,87.8,3.0,Wrought Iron,1.18
28.2,6.8,24.8,3.5,15.8,52.1,3.0,Bessemer Steel,1.9
114.0,4.5,13.0,2.3,34.7,5.6,1.5,Open Hearth iron,0.27
15.0,7.0,7.6,10.5,23.2,30.9,3.0,Wrought Iron,4.45
2.69,7.48,14.68,3.8,18.61,26.58,1.38,Open Hearth iron,3.67
5.55,3.74,42.77,4.1,2.14,87.82,1.4,Open Hearth iron,3.18
114.0,4.5,13.0,11.12,34.7,5.6,1.5,Wrought Iron,1.31
13.15,7.0,28.8,8.72,4.9,35.8,3.0,Open Hearth iron,5.95
3.3,7.6,37.0,7.7,8.7,70.1,3.0,Bessemer Steel,4.2
137.0,4.7,34.8,11.38,14.9,45.8,3.0,Wrought Iron,8.87
110.0,5.3,32.0,4.0,15.5,53.1,1.5,Bessemer Steel,1.2
57.0,7.3,17.8,3.7,11.7,15.8,3.0,Bessemer Steel,1.3
35.11,6.15,17.15,11.8,14.48,13.79,1.52,Wrought Iron,4.6
6.7,4.6,55.26,3.08,20.88,29.34,1.5,Bessemer Steel,6.73
20.65,7.35,17.94,8.2,11.12,26.15,3.02,Open Hearth iron,2.16
4.87,4.78,51.96,10.58,14.62,21.58,1.5,Bessemer Steel,21.59
24.27,7.25,36.9,8.38,15.64,26.62,3.0,Bessemer Steel,1.73
82.9,4.4,22.2,2.0,12.0,26.5,1.5,Bessemer Steel,2.1
114.0,4.5,13.0,3.21,34.7,5.6,3.0,Wrought Iron,0.34
57.0,7.3,17.8,1.0,11.7,15.8,3.0,Wrought Iron,0.3
28.2,6.8,24.8,11.5,15.8,52.1,3.0,Wrought Iron,4.9
17.8,7.2,25.8,2.24,9.5,36.0,1.5,Bessemer Steel,0.86
17.7,7.24,25.98,1.0,9.58,35.99,2.99,Open Hearth iron,0.52
41.92,6.03,39.11,10.19,8.69,49.56,1.5,Bessemer Steel,6.46
301.43,5.43,19.19,12.28,28.93,25.03,1.5,Wrought Iron,1.32
9.7,6.0,33.0,8.03,2.3,47.1,3.0,Bessemer Steel,8.21
1.66,5.6,43.6,9.1,3.47,9.8,1.5,Bessemer Steel,4.7
431.0,5.9,12.2,12.93,40.6,7.2,3.0,Open Hearth iron,1.22
19.7,4.6,28.4,8.93,3.9,34.2,3.0,Open Hearth iron,2.72
2.63,7.4,14.8,7.7,18.7,26.7,1.5,Wrought Iron,5.6
11.4,7.3,28.4,10.05,16.6,20.3,3.0,Open Hearth iron,3.31
1.66,5.6,43.6,5.96,3.47,9.8,1.5,Bessemer Steel,2.47
21.21,7.23,31.65,12.45,12.74,31.06,1.5,Wrought Iron,3.26
27.18,7.16,19.25,4.24,11.78,28.11,1.5,Wrought Iron,1.8
56.83,7.25,17.56,9.7,11.67,15.76,1.43,Bessemer Steel,2.58
114.0,4.5,13.0,15.66,34.7,5.6,3.0,Wrought Iron,1.34
0.6,3.1,55.4,6.2,68.9,65.0,3.0,Wrought Iron,7.2
17.7,7.6,25.7,7.85,2.6,46.1,1.5,Bessemer Steel,1.78
1.3,7.0,29.4,5.23,7.2,32.4,1.5,Wrought Iron,2.05
110.0,5.3,32.0,6.11,15.5,53.1,3.0,Bessemer Steel,1.32
2.63,7.4,14.8,2.51,18.7,26.7,3.0,Bessemer Steel,2.26
8.0,6.8,72.8,11.08,34.0,46.2,3.0,Wrought Iron,12.99
205.03,4.6,2.71,4.1,38.02,0.53,1.57,Wrought Iron,1.57
4.99,7.55,36.17,11.07,9.18,68.88,3.0,Bessemer Steel,7.78
82.9,4.4,22.2,11.11,12.0,26.5,3.0,Bessemer Steel,7.23
28.2,6.8,24.8,1.17,15.8,52.1,3.0,Bessemer Steel,0.69
112.0,3.8,7.0,2.0,3.5,4.5,1.5,Bessemer Steel,2.4
431.0,5.9,12.2,12.1,40.6,7.2,1.5,Bessemer Steel,0.9
1.3,7.0,29.4,7.64,7.2,32.4,1.5,Wrought Iron,4.16
110.0,5.3,32.0,3.5,15.5,53.1,1.5,Wrought Iron,0.99
12.7,4.2,34.5,9.23,26.6,71.2,3.0,Open Hearth iron,15.72
19.7,4.6,28.4,9.7,3.9,34.2,3.0,Bessemer Steel,3.1
112.2,3.58,6.9,12.0,3.54,4.49,1.58,Bessemer Steel,8.59
6.84,7.3,37.6,3.82,2.0,44.9,1.5,Open Hearth iron,2.81
8.38,7.35,50.11,3.13,6.7,63.89,1.5,Open Hearth iron,2.6
15.0,7.0,7.6,7.51,23.2,30.9,1.5,Open Hearth iron,5.14
1.3,7.0,29.4,5.7,7.2,32.4,3.0,Bessemer Steel,2.5
114.11,4.53,12.87,4.0,34.85,5.59,1.66,Bessemer Steel,0.31
59.8,4.5,30.8,1.55,4.4,51.7,3.0,Open Hearth iron,1.76
431.0,5.9,12.2,3.34,40.6,7.2,3.0,Open Hearth iron,0.53
35.2,6.2,17.2,8.55,14.4,13.9,1.5,Open Hearth iron,2.69
20.6,7.3,18.0,4.1,10.9,26.0,1.5,Open Hearth iron,1.7
2.78,9.4,24.7,10.2,6.1,6.2,3.0,Bessemer Steel,21.7
2.97,9.64,21.9,1.8,34.41,9.3,1.51,Open Hearth iron,2.43
82.9,4.4,22.2,11.6,12.0,26.5,1.5,Wrought Iron,7.88
114.02,4.56,12.98,7.8,34.65,5.7,1.44,Bessemer Steel,0.77
136.95,4.82,34.83,10.2,15.03,45.72,1.5,Wrought Iron,10.81
66.7,5.6,22.2,12.0,7.0,17.7,3.0,Bessemer Steel,6.9
20.6,7.3,18.0,16.24,10.9,26.0,1.5,Wrought Iron,3.77
59.8,4.5,30.8,1.98,4.4,51.7,1.5,Wrought Iron,2.01
10.07,8.84,31.16,1.0,7.28,31.21,2.87,Wrought Iron,0.51
3.69,7.37,14.19,10.83,19.08,27.06,3.0,Open Hearth iron,10.43
5.7,3.7,42.6,7.73,1.9,87.8,1.5,Open Hearth iron,4.38
51.5,4.9,28.4,3.7,9.6,22.3,1.5,Wrought Iron,3.9
28.9,7.5,22.4,3.51,3.8,36.3,1.5,Bessemer Steel,2.26
5.66,3.7,42.8,17.6,1.76,87.75,3.13,Wrought Iron,9.71
3.3,7.6,37.0,3.52,8.7,70.1,1.5,Open Hearth iron,1.78
19.7,4.6,28.4,6.59,3.9,34.2,1.5,Bessemer Steel,2.53
160.34,4.93,28.01,14.99,16.43,41.61,3.0,Open Hearth iron,3.76
28.25,6.59,24.77,16.9,16.01,52.19,1.37,Open Hearth iron,5.47
35.2,6.2,17.2,3.49,14.4,13.9,1.5,Open Hearth iron,1.81
13.15,7.0,28.8,6.2,4.9,35.8,1.5,Bessemer Steel,4.8
28.9,7.5,22.4,7.7,3.8,36.3,1.5,Bessemer Steel,2.5
79.59,6.0,24.37,8.01,22.51,37.41,1.5,Open Hearth iron,1.12
59.8,4.5,30.8,3.8,4.4,51.7,3.0,Open Hearth iron,3.4
110.0,5.3,32.0,9.04,15.5,53.1,3.0,Bessemer Steel,1.6
74.6,6.6,13.0,7.9,27.8,6.6,3.0,Wrought Iron,4.7
431.0,5.9,12.2,17.5,40.6,7.2,1.5,Wrought Iron,1.6
386.0,4.5,3.0,12.51,32.1,2.6,3.0,Open Hearth iron,2.53
13.2,5.3,33.1,7.9,6.9,40.3,1.5,Wrought Iron,5.4
90.65,5.15,14.78,5.62,14.81,19.56,1.5,Wrought Iron,1.88
29.11,6.28,29.28,6.98,12.14,31.79,3.0,Open Hearth iron,3.63
8.0,6.8,72.8,1.95,34.0,46.2,1.5,Open Hearth iron,1.5
29.8,7.3,46.4,8.15,20.9,18.6,3.0,Open Hearth iron,1.76
21.73,7.09,25.28,1.66,10.53,34.76,1.5,Bessemer Steel,0.44
28.98,7.44,22.3,5.5,3.76,36.31,2.91,Bessemer Steel,2.89
5.7,3.7,42.6,9.12,1.9,87.8,1.5,Wrought Iron,5.48
17.8,7.2,25.8,6.4,9.5,36.0,1.5,Open Hearth iron,1.74
112.03,3.87,6.97,12.1,3.75,4.48,3.05,Wrought Iron,8.19
9.73,5.94,32.92,8.2,2.19,47.03,1.5,Wrought Iron,6.41
28.88,7.72,22.6,1.0,3.71,36.15,3.08,Bessemer Steel,0.83
386.0,4.5,3.0,12.0,32.1,2.6,3.0,Bessemer Steel,2.2
51.5,4.9,28.4,3.63,9.6,22.3,1.5,Bessemer Steel,3.64
35.2,6.2,17.2,10.32,14.4,13.9,3.0,Wrought Iron,4.96
28.17,6.87,24.76,3.5,15.93,52.24,2.95,Wrought Iron,1.93
10.03,5.93,33.01,11.01,2.73,46.46,3.0,Open Hearth iron,7.85
13.15,7.0,28.8,2.98,4.9,35.8,1.5,Bessemer Steel,1.89
2.78,9.4,24.7,10.12,6.1,6.2,1.5,Bessemer Steel,18.89
3.3,7.6,37.0,9.49,8.7,70.1,1.5,Wrought Iron,4.76
66.7,5.6,22.2,1.1,7.0,17.7,3.0,Bessemer Steel,1.4
5.75,3.95,42.43,5.9,1.81,87.75,1.5,Open Hearth iron,2.96
110.0,5.3,32.0,6.0,15.5,53.1,3.0,Open Hearth iron,1.4
13.31,5.26,33.0,6.1,6.87,40.29,3.01,Wrought Iron,3.25
71.98,4.45,26.27,6.89,8.41,38.42,1.5,Bessemer Steel,4.51
2.83,9.52,21.56,4.2,34.53,9.42,1.27,Wrought Iron,7.08
15.0,7.0,7.6,4.46,23.2,30.9,1.5,Bessemer Steel,2.77
28.9,7.5,22.4,4.0,3.8,36.3,3.0,Wrought Iron,2.22
28.9,7.5,22.4,3.06,3.8,36.3,1.5,Wrought Iron,2.07
200.75,4.77,3.23,17.22,37.34,1.04,3.0,Bessemer Steel,3.99
6.84,7.3,37.6,7.9,2.0,44.9,3.0,Bessemer Steel,4.2
5.05,7.45,54.35,7.9,5.73,70.38,1.66,Bessemer Steel,5.53
2.63,9.31,24.63,6.2,5.98,6.06,2.94,Bessemer Steel,13.76
28.2,6.8,24.8,7.47,15.8,52.1,1.5,Open Hearth iron,3.09
2.78,9.4,24.7,12.1,6.1,6.2,3.0,Bessemer Steel,19.6
28.9,7.5,22.4,7.7,3.8,36.3,1.5,Open Hearth iron,2.7
3.3,7.6,37.0,9.9,8.7,70.1,3.0,Bessemer Steel,5.6
29.8,7.3,46.4,8.46,20.9,18.6,3.0,Wrought Iron,2.0
35.2,6.2,17.2,3.8,14.4,13.9,3.0,Bessemer Steel,2.2
2.78,9.4,24.7,9.55,6.1,6.2,3.0,Wrought Iron,19.38
57.05,7.33,17.68,5.9,11.81,15.59,1.36,Open Hearth iron,1.93
8.0,6.8,72.8,1.73,34.0,46.2,1.5,Wrought Iron,1.19
10.01,8.67,31.19,3.6,7.27,31.09,1.46,Open Hearth iron,1.31
57.0,7.3,17.8,11.7,11.7,15.8,1.5,Open Hearth iron,3.1
12.7,4.2,34.5,8.0,26.6,71.2,3.0,Wrought Iron,10.9
10.06,8.96,31.17,11.5,7.24,31.29,1.47,Wrought Iron,4.18
29.73,7.18,46.37,3.5,21.07,18.69,3.06,Open Hearth iron,1.83
1.3,7.0,29.4,5.98,7.2,32.4,3.0,Open Hearth iron,2.85
15.14,7.09,7.6,1.5,23.2,30.92,3.01,Open Hearth iron,1.05
74.6,6.6,13.0,3.49,27.8,6.6,1.5,Wrought Iron,1.93
59.89,4.4,30.89,16.9,4.32,51.65,3.14,Bessemer Steel,9.57
31.9,7.1,12.4,17.5,33.5,12.8,3.0,Bessemer Steel,5.3
8.0,6.8,72.8,3.7,34.0,46.2,1.5,Wrought Iron,3.3
3.3,7.6,37.0,10.18,8.7,70.1,3.0,Open Hearth iron,5.69
12.7,4.2,34.5,4.47,26.6,71.2,3.0,Wrought Iron,7.59
31.77,7.1,12.48,12.0,33.52,12.99,1.43,Wrought Iron,4.37
15.0,7.0,7.6,5.1,23.2,30.9,1.5,Wrought Iron,2.8
1.3,7.0,29.4,17.0,7.2,32.4,1.5,Bessemer Steel,5.4
35.24,6.29,17.25,9.9,14.51,13.92,2.92,Bessemer Steel,4.52
0.58,3.24,55.24,1.4,68.72,64.9,2.81,Bessemer Steel,2.37
1.3,7.0,29.4,17.0,7.2,32.4,3.0,Bessemer Steel,6.9
5.7,3.7,42.6,5.07,1.9,87.8,3.0,Bessemer Steel,3.14
9.96,8.79,31.11,11.54,7.26,31.18,3.0,Bessemer Steel,3.39
82.79,4.41,22.16,6.0,11.96,26.66,3.01,Bessemer Steel,5.03
20.6,7.3,18.0,17.5,10.9,26.0,3.0,Wrought Iron,1.2
13.17,6.8,28.94,8.1,4.94,35.78,2.76,Bessemer Steel,5.94
29.76,7.3,46.35,16.7,20.98,18.57,3.04,Open Hearth iron,4.37
19.7,4.6,28.4,11.6,3.9,34.2,1.5,Bessemer Steel,3.1
110.0,5.3,32.0,5.78,15.5,53.1,1.5,Open Hearth iron,1.13
74.6,6.6,13.0,6.1,27.8,6.6,3.0,Bessemer Steel,3.4
112.0,3.8,7.0,2.0,3.5,4.5,1.5,Open Hearth iron,2.3
12.15,7.0,28.6,1.64,1.1,52.5,3.0,Wrought Iron,1.93
3.28,7.58,36.97,3.8,8.72,70.27,2.97,Wrought Iron,1.45
188.66,4.99,4.46,15.86,35.18,2.28,3.0,Open Hearth iron,4.05
51.5,4.9,28.4,9.6,9.6,22.3,1.5,Bessemer Steel,6.1
3.3,7.6,37.0,7.68,8.7,70.1,1.5,Bessemer Steel,3.19
3.36,7.65,36.86,5.8,8.73,70.0,1.6,Wrought Iron,3.22
4.08,6.8,24.6,1.6,2.5,62.6,3.0,Wrought Iron,2.1
19.7,4.6,28.4,8.05,3.9,34.2,3.0,Wrought Iron,2.55
386.0,4.5,3.0,8.07,32.1,2.6,3.0,Bessemer Steel,2.2
12.28,6.99,28.64,9.8,1.17,52.55,1.47,Open Hearth iron,8.14
5.68,3.67,42.69,17.6,1.73,87.76,3.05,Open Hearth iron,8.46
2.18,2.6,43.4,6.06,33.2,46.2,1.5,Bessemer Steel,8.99
23.7,6.2,31.2,4.0,10.8,30.9,1.5,Open Hearth iron,2.5
112.0,4.5,13.8,8.41,16.0,17.6,3.0,Open Hearth iron,2.08
74.29,5.84,24.2,3.9,7.55,15.2,2.94,Open Hearth iron,3.07
57.0,7.3,17.8,4.98,11.7,15.8,3.0,Open Hearth iron,1.85
28.9,7.5,22.4,3.6,3.8,36.3,1.5,Wrought Iron,2.4
0.56,3.11,55.5,9.9,68.84,65.0,2.82,Wrought Iron,10.33
3.21,7.59,37.01,11.9,8.68,70.11,1.57,Wrought Iron,6.87
3.25,7.52,36.96,5.9,8.58,70.12,3.12,Wrought Iron,2.87
204.79,4.64,2.87,17.7,38.03,0.74,2.94,Bessemer Steel,4.15
23.56,6.18,31.04,4.1,10.71,30.82,2.83,Open Hearth iron,3.0
6.84,7.3,37.6,17.6,2.0,44.9,1.5,Open Hearth iron,7.8
6.84,7.3,37.6,2.1,2.0,44.9,1.5,Wrought Iron,2.0
3.3,7.6,37.0,3.8,8.7,70.1,3.0,Bessemer Steel,1.9
7.12,4.2,57.8,7.5,22.4,29.8,1.5,Bessemer Steel,21.0
28.2,6.8,24.8,2.21,15.8,52.1,1.5,Bessemer Steel,1.43
112.0,4.5,13.8,12.0,16.0,17.6,1.5,Open Hearth iron,2.5
49.0,6.7,23.4,4.0,14.7,35.1,1.5,Bessemer Steel,1.9
4.89,7.5,54.4,4.73,5.7,70.4,1.5,Open Hearth iron,4.6
114.0,4.5,13.0,14.81,34.7,5.6,3.0,Bessemer Steel,1.51
13.2,5.3,33.1,12.0,6.9,40.3,1.5,Bessemer Steel,5.3
7.0,7.49,37.5,12.1,2.08,44.9,1.6,Wrought Iron,6.94
10.0,8.8,31.2,2.57,7.2,31.2,3.0,Open Hearth iron,0.95
1.3,7.0,29.4,15.79,7.2,32.4,1.5,Wrought Iron,5.83
0.6,3.1,55.4,10.6,68.9,65.0,1.5,Open Hearth iron,12.9
3.3,7.6,37.0,9.9,8.7,70.1,1.5,Open Hearth iron,5.1
15.0,7.0,7.6,8.0,23.2,30.9,3.0,Open Hearth iron,3.6
29.8,7.3,46.4,3.9,20.9,18.6,3.0,Wrought Iron,1.76
205.02,4.66,2.67,6.0,38.11,0.59,1.43,Bessemer Steel,2.0
28.2,6.8,24.8,3.96,15.8,52.1,3.0,Wrought Iron,2.06
19.7,4.6,28.4,3.62,3.9,34.2,1.5,Bessemer Steel,2.15
8.0,6.8,72.8,7.19,34.0,46.2,1.5,Wrought Iron,8.15
205.0,4.7,2.8,2.75,38.1,0.6,1.5,Open Hearth iron,1.16
21.2,4.4,34.3,1.59,3.7,63.6,3.0,Wrought Iron,1.09
114.0,4.5,13.0,5.48,34.7,5.6,3.0,Wrought Iron,0.89
137.03,4.6,34.75,6.0,15.08,45.68,1.5,Bessemer Steel,7.38
5.7,3.7,42.6,6.56,1.9,87.8,1.5,Wrought Iron,3.94
3.3,7.6,37.0,9.9,8.7,70.1,1.5,Bessemer Steel,4.6
59.8,4.5,30.8,10.97,4.4,51.7,1.5,Wrought Iron,8.3
13.15,7.0,28.8,2.6,4.9,35.8,1.5,Wrought Iron,1.32
21.2,4.4,34.3,2.63,3.7,63.6,3.0,Open Hearth iron,2.07
2.17,2.57,43.44,7.4,33.09,46.29,1.48,Bessemer Steel,10.94
82.9,4.37,21.94,4.0,12.0,26.41,2.92,Wrought Iron,2.64
49.0,6.7,23.4,9.0,14.7,35.1,3.0,Bessemer Steel,3.82
3.19,7.51,16.05,1.99,17.82,27.04,1.5,Bessemer Steel,1.47
7.34,7.27,36.76,2.99,1.92,45.61,1.5,Open Hearth iron,2.55
13.15,5.59,33.18,17.3,6.95,40.38,3.03,Bessemer Steel,7.05
4.08,6.8,24.6,8.17,2.5,62.6,1.5,Open Hearth iron,13.08
11.4,7.3,28.4,5.55,16.6,20.3,1.5,Bessemer Steel,2.57
12.15,7.0,28.6,8.01,1.1,52.5,3.0,Open Hearth iron,6.33
0.6,3.1,55.4,2.72,68.9,65.0,3.0,Bessemer Steel,4.64
4.08,6.8,24.6,4.72,2.5,62.6,1.5,Wrought Iron,7.85
5.6,3.67,42.61,8.0,1.93,87.81,2.83,Wrought Iron,4.14
12.66,4.39,34.65,12.1,26.56,71.2,1.49,Bessemer Steel,19.31
13.2,5.3,33.1,11.71,6.9,40.3,1.5,Bessemer Steel,5.26
19.77,4.65,28.34,7.6,4.02,34.13,1.49,Bessemer Steel,2.88
21.0,7.72,26.08,5.53,7.41,12.22,3.0,Open Hearth iron,6.65
6.62,7.01,36.5,4.03,7.77,68.89,1.5,Wrought Iron,1.59
205.0,4.7,2.8,6.0,38.1,0.6,1.5,Wrought Iron,1.8
28.2,6.8,24.8,3.5,15.8,52.1,1.5,Bessemer Steel,2.0
57.0,7.3,17.8,5.85,11.7,15.8,3.0,Bessemer Steel,2.59
23.7,6.2,31.2,4.0,10.8,30.9,1.5,Bessemer Steel,2.4
51.5,4.9,28.4,2.28,9.6,22.3,1.5,Wrought Iron,2.27
11.4,7.3,28.4,7.7,16.6,20.3,1.5,Bessemer Steel,3.0
66.7,5.6,22.2,11.28,7.0,17.7,1.5,Wrought Iron,6.38
205.0,4.7,2.8,12.0,38.1,0.6,1.5,Wrought Iron,3.0
16.86,5.37,44.36,8.9,10.7,55.76,3.0,Bessemer Steel,2.54
12.08,6.97,28.36,11.5,1.15,52.64,1.58,Wrought Iron,8.6
354.89,6.1,15.22,4.74,34.1,12.41,1.5,Wrought Iron,1.89
5.57,3.65,42.8,2.0,1.99,87.91,1.57,Wrought Iron,0.57
82.9,4.4,22.2,2.0,12.0,26.5,1.5,Wrought Iron,2.5
56.83,7.39,17.63,7.6,11.68,15.74,2.91,Open Hearth iron,2.7
385.82,4.49,2.9,12.1,31.92,2.46,1.6,Open Hearth iron,2.15
28.2,6.8,24.8,3.03,15.8,52.1,1.5,Wrought Iron,2.09
13.15,7.0,28.8,4.1,4.9,35.8,3.0,Open Hearth iron,2.1
386.01,4.56,3.06,6.1,32.12,2.53,3.05,Open Hearth iron,1.32
17.8,7.2,25.8,4.62,9.5,36.0,1.5,Bessemer Steel,1.63
57.0,7.3,17.8,7.6,11.7,15.8,1.5,Wrought Iron,2.8
8.0,6.8,72.8,1.0,34.0,46.2,3.0,Open Hearth iron,0.4
8.0,6.8,72.8,2.42,34.0,46.2,3.0,Bessemer Steel,2.08
30.04,7.27,46.47,5.3,20.8,18.57,3.14,Open Hearth iron,1.25
5.7,5.92,31.37,5.31,14.69,47.38,3.0,Open Hearth iron,7.59
85.0,4.9,29.4,14.3,5.4,1.2,1.5,Bessemer Steel,4.4
66.7,5.6,22.2,7.04,7.0,17.7,1.5,Bessemer Steel,4.95
